"Field1","Field2_Text","Field3"
"This is what happens when you reply to spam email | James Veitch                                                                    45M views3 years ago","This is what happens when you reply to spam email | James Veitch","45M views"
"Inside the mind of a master procrastinator | Tim Urban                                                                    24M views3 years ago","Inside the mind of a master procrastinator | Tim Urban","24M views"
"How to speak so that people want to listen | Julian Treasure                                                                    24M views5 years ago","How to speak so that people want to listen | Julian Treasure","24M views"
"The orchestra in my mouth | Tom Thum                                                                    23M views6 years ago","The orchestra in my mouth | Tom Thum","23M views"
"Looks aren't everything. Believe me, I'm a model. | Cameron Russell                                                                                                                              Verified            22M views6 years ago","Looks aren't everything. Believe me, I'm a model. | Cameron Russell","22M views"
"The art of misdirection | Apollo Robbins                                                                                                                              Verified            18M views6 years ago","The art of misdirection | Apollo Robbins","18M views"
"The agony of trying to unsubscribe | James Veitch                                                                                                                              Verified            18M views3 years ago","The agony of trying to unsubscribe | James Veitch","18M views"
"How to spot a liar | Pamela Meyer                                                                                                                              Verified            18M views8 years ago","How to spot a liar | Pamela Meyer","18M views"
"Do schools kill creativity? | Sir Ken Robinson                                                                                                                              Verified            17M views12 years ago","Do schools kill creativity? | Sir Ken Robinson","17M views"
"How I held my breath for 17 minutes | David Blaine                                                                                                                              Verified            17M views9 years ago","How I held my breath for 17 minutes | David Blaine","17M views"
"Your body language may shape who you are | Amy Cuddy                                                                                                                              Verified            17M views7 years ago","Your body language may shape who you are | Amy Cuddy","17M views"
"Strange answers to the psychopath test | Jon Ronson                                                                                                                              Verified            17M views7 years ago","Strange answers to the psychopath test | Jon Ronson","17M views"
"What makes a good life? Lessons from the longest study on happiness | Robert Waldinger                                                                                                                              Verified            14M views3 years ago","What makes a good life? Lessons from the longest study on happiness | Robert Waldinger","14M views"
"A Saudi, an Indian and an Iranian walk into a Qatari bar ... | Maz Jobrani                                                                                                                              Verified            12M views6 years ago","A Saudi, an Indian and an Iranian walk into a Qatari bar ... | Maz Jobrani","12M views"
"The power of vulnerability | Brené Brown                                                                                                                              Verified            11M views8 years ago","The power of vulnerability | Brené Brown","11M views"
"10 things you didn't know about orgasm | Mary Roach                                                                                                                              Verified            11M views10 years ago","10 things you didn't know about orgasm | Mary Roach","11M views"
"My journey to yo-yo mastery | BLACK                                                                                                                              Verified            11M views6 years ago","My journey to yo-yo mastery | BLACK","11M views"
"How great leaders inspire action | Simon Sinek                                                                                                                              Verified            11M views9 years ago","How great leaders inspire action | Simon Sinek","11M views"
"How to stay calm when you know you'll be stressed | Daniel Levitin                                                                                                                              Verified            10M views4 years ago","How to stay calm when you know you'll be stressed | Daniel Levitin","10M views"
"The future we're building -- and boring | Elon Musk                                                                                                                              Verified            10M views2 years ago","The future we're building -- and boring | Elon Musk","10M views"
"The power of introverts | Susan Cain                                                                                                                              Verified            9.8M views7 years ago","The power of introverts | Susan Cain","9.8M views"
"The price of shame | Monica Lewinsky                                                                                                                              Verified            9.7M views4 years ago","The price of shame | Monica Lewinsky","9.7M views"
"Brain magic | Keith Barry                                                                                                                              Verified            9.5M views11 years ago","Brain magic | Keith Barry","9.5M views"
"New bionics let us run, climb and dance | Hugh Herr                                                                                                                              Verified            9.1M views5 years ago","New bionics let us run, climb and dance | Hugh Herr","9.1M views"
"My escape from North Korea | Hyeonseo Lee                                                                                                                              Verified            9.1M views6 years ago","My escape from North Korea | Hyeonseo Lee","9.1M views"
"How to make stress your friend | Kelly McGonigal                                                                                                                              Verified            8.7M views6 years ago","How to make stress your friend | Kelly McGonigal","8.7M views"
"The puzzle of motivation | Dan Pink                                                                                                                              Verified            8.6M views10 years ago","The puzzle of motivation | Dan Pink","8.6M views"
"The astounding athletic power of quadcopters | Raffaello D'Andrea                                                                                                                              Verified            8.6M views6 years ago","The astounding athletic power of quadcopters | Raffaello D'Andrea","8.6M views"
"Reggie Watts disorients you in the most entertaining way                                                                                                                              Verified            8.5M views7 years ago","Reggie Watts disorients you in the most entertaining way","8.5M views"
"A simple way to break a bad habit | Judson Brewer                                                                                                                              Verified            8.3M views3 years ago","A simple way to break a bad habit | Judson Brewer","8.3M views"
"Rethinking infidelity ... a talk for anyone who has ever loved | Esther Perel                                                                                                                              Verified            8.2M views4 years ago","Rethinking infidelity ... a talk for anyone who has ever loved | Esther Perel","8.2M views"
"A 12-year-old app developer | Thomas Suarez                                                                                                                              Verified            7.7M views7 years ago","A 12-year-old app developer | Thomas Suarez","7.7M views"
"10 ways to have a better conversation | Celeste Headlee                                                                                                                              Verified            7.5M views3 years ago","10 ways to have a better conversation | Celeste Headlee","7.5M views"
"My son was a Columbine shooter. This is my story | Sue Klebold                                                                                                                              Verified            7.5M views2 years ago","My son was a Columbine shooter. This is my story | Sue Klebold","7.5M views"
"Fly with the Jetman | Yves Rossy                                                                                                                              Verified            7M views8 years ago","Fly with the Jetman | Yves Rossy","7M views"
"Everything you think you know about addiction is wrong | Johann Hari                                                                                                                              Verified            6.9M views4 years ago","Everything you think you know about addiction is wrong | Johann Hari","6.9M views"
"Thoughts on humanity, fame and love | Shah Rukh Khan                                                                                                                              Verified            6.5M views2 years ago","Thoughts on humanity, fame and love | Shah Rukh Khan","6.5M views"
"Questioning the universe | Stephen Hawking                                                                                                                              Verified            6.3M views11 years ago","Questioning the universe | Stephen Hawking","6.3M views"
"My stroke of insight | Jill Bolte Taylor                                                                                                                              Verified            6.2M views11 years ago","My stroke of insight | Jill Bolte Taylor","6.2M views"
"How to control someone else's arm with your brain | Greg Gage                                                                                                                              Verified            6.1M views4 years ago","How to control someone else's arm with your brain | Greg Gage","6.1M views"
"Your brain hallucinates your conscious reality | Anil Seth                                                                                                                              Verified            6.1M views2 years ago","Your brain hallucinates your conscious reality | Anil Seth","6.1M views"
"Are athletes really getting faster, better, stronger? | David Epstein                                                                                                                              Verified            6M views5 years ago","Are athletes really getting faster, better, stronger? | David Epstein","6M views"
"Meet the dazzling flying machines of the future | Raffaello D'Andrea                                                                                                                              Verified            5.9M views3 years ago","Meet the dazzling flying machines of the future | Raffaello D'Andrea","5.9M views"
"What I learned from going blind in space | Chris Hadfield                                                                                                                              Verified            5.8M views5 years ago","What I learned from going blind in space | Chris Hadfield","5.8M views"
"The surprising habits of original thinkers | Adam Grant                                                                                                                              Verified            5.7M views3 years ago","The surprising habits of original thinkers | Adam Grant","5.7M views"
"How I climbed a 3,000-foot vertical cliff -- without ropes | Alex Honnold                                                                                                                              Verified            5.7M views1 year ago","How I climbed a 3,000-foot vertical cliff -- without ropes | Alex Honnold","5.7M views"
"Grit: the power of passion and perseverance | Angela Lee Duckworth                                                                                                                              Verified            5.7M views6 years ago","Grit: the power of passion and perseverance | Angela Lee Duckworth","5.7M views"
"The art of asking | Amanda Palmer                                                                                                                              Verified            5.7M views6 years ago","The art of asking | Amanda Palmer","5.7M views"
"Can you really tell if a kid is lying? | Kang Lee                                                                                                                              Verified            5.7M views3 years ago","Can you really tell if a kid is lying? | Kang Lee","5.7M views"
"The danger of a single story | Chimamanda Ngozi Adichie                                                                                                                              Verified            5.6M views10 years ago","The danger of a single story | Chimamanda Ngozi Adichie","5.6M views"
"What really matters at the end of life | BJ Miller                                                                                                                              Verified            5.6M views4 years ago","What really matters at the end of life | BJ Miller","5.6M views"
"If I should have a daughter ... | Sarah Kay                                                                                                                              Verified            5.6M views8 years ago","If I should have a daughter ... | Sarah Kay","5.6M views"
"Who are you, really? The puzzle of personality | Brian Little                                                                                                                              Verified            5.6M views3 years ago","Who are you, really? The puzzle of personality | Brian Little","5.6M views"
"Learning from dirty jobs | Mike Rowe                                                                                                                              Verified            5.6M views10 years ago","Learning from dirty jobs | Mike Rowe","5.6M views"
"Bluegrass virtuosity from ... New Jersey? | Sleepy Man Banjo Boys                                                                                                                              Verified            5.5M views6 years ago","Bluegrass virtuosity from ... New Jersey? | Sleepy Man Banjo Boys","5.5M views"
"I got 99 problems... palsy is just one | Maysoon Zayid                                                                                                                              Verified            5.5M views5 years ago","I got 99 problems... palsy is just one | Maysoon Zayid","5.5M views"
"Why does the universe exist? | Jim Holt                                                                                                                              Verified            5.4M views5 years ago","Why does the universe exist? | Jim Holt","5.4M views"
"Your brain on video games | Daphne Bavelier                                                                                                                              Verified            5.2M views7 years ago","Your brain on video games | Daphne Bavelier","5.2M views"
"The history of our world in 18 minutes | David Christian                                                                                                                              Verified            5.2M views8 years ago","The history of our world in 18 minutes | David Christian","5.2M views"
"The most mysterious star in the universe | Tabetha Boyajian                                                                                                                              Verified            5.1M views3 years ago","The most mysterious star in the universe | Tabetha Boyajian","5.1M views"
